image_id,image_path,split,label,n_roi,I
solo_train_neg_38,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_38.jpg,train,neg,1,210.000000
solo_train_neg_39,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_39.jpg,train,neg,1,207.000000
solo_train_neg_4,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_4.jpg,train,neg,1,212.000000
solo_train_neg_40,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_40.jpg,train,neg,1,208.000000
solo_train_neg_5,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_5.jpg,train,neg,1,214.000000
solo_train_neg_6,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_6.jpg,train,neg,1,214.000000
solo_train_neg_7,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_7.jpg,train,neg,1,211.000000
solo_train_neg_8,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_8.jpg,train,neg,1,212.000000
solo_train_neg_9,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_9.jpg,train,neg,1,208.000000
solo_train_pos_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_1.jpg,train,pos,1,246.000000
solo_train_pos_10,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_10.jpg,train,pos,1,239.000000
solo_train_pos_11,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_11.jpg,train,pos,1,227.000000
solo_train_pos_12,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_12.jpg,train,pos,1,227.000000
solo_train_pos_13,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_13.jpg,train,pos,1,225.000000
solo_train_pos_14,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_14.jpg,train,pos,1,244.000000
solo_train_pos_15,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_15.jpg,train,pos,1,227.000000
solo_train_pos_16,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_16.jpg,train,pos,1,226.000000
solo_train_pos_17,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_17.jpg,train,pos,1,221.000000
solo_train_pos_18,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_18.jpg,train,pos,1,222.000000
solo_train_pos_19,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_19.jpg,train,pos,1,237.000000
solo_train_pos_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_2.jpg,train,pos,1,247.000000
solo_train_pos_20,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_20.jpg,train,pos,1,222.000000
solo_train_pos_21,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_21.jpg,train,pos,1,237.000000
solo_train_pos_22,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_22.jpg,train,pos,1,238.000000
solo_train_pos_23,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_23.jpg,train,pos,1,232.000000
solo_train_pos_24,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_24.jpg,train,pos,1,254.000000
solo_train_pos_25,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_25.jpg,train,pos,1,254.000000
solo_train_pos_26,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_26.jpg,train,pos,1,242.000000
solo_train_pos_27,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_27.jpg,train,pos,1,242.000000
solo_train_pos_28,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_28.jpg,train,pos,1,233.000000
solo_train_pos_29,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_29.jpg,train,pos,1,234.000000
solo_train_pos_3,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_3.jpg,train,pos,1,230.000000
solo_train_pos_30,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_30.jpg,train,pos,1,245.000000
solo_train_pos_31,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_31.jpg,train,pos,1,243.000000
solo_train_pos_32,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_32.jpg,train,pos,1,229.000000
solo_train_pos_33,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_33.jpg,train,pos,1,228.000000
solo_train_pos_34,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_34.jpg,train,pos,1,242.000000
solo_train_pos_35,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_35.jpg,train,pos,1,242.000000
solo_train_pos_36,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_36.jpg,train,pos,1,248.000000
solo_train_pos_37,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_37.jpg,train,pos,1,247.000000
solo_train_pos_38,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_38.jpg,train,pos,1,240.000000
solo_train_pos_39,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_39.jpg,train,pos,1,240.000000
solo_train_pos_4,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_4.jpg,train,pos,1,231.000000
solo_train_pos_40,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_40.jpg,train,pos,1,237.000000
solo_train_pos_5,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_5.jpg,train,pos,1,235.000000
solo_train_pos_6,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_6.jpg,train,pos,1,223.000000
solo_train_pos_7,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_7.jpg,train,pos,1,225.000000
solo_train_pos_8,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_8.jpg,train,pos,1,225.000000
solo_train_pos_9,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_9.jpg,train,pos,1,239.000000
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,test,neg,1,206.000000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,test,neg,1,209.000000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,test,neg,1,206.000000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,test,neg,1,209.000000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,test,neg,1,209.000000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,test,neg,1,209.000000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,test,neg,1,222.000000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,test,neg,1,190.000000
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,test,neg,1,203.000000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,test,neg,1,200.000000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,test,neg,1,200.000000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,test,neg,1,204.000000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,test,neg,1,192.000000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,test,neg,1,208.000000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,test,neg,1,210.000000
solo_test_pos_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_01.jpg,test,pos,1,255.000000
solo_test_pos_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_02.jpg,test,pos,1,255.000000
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,test,pos,1,255.000000
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,test,pos,1,255.000000
solo_test_pos_r_0_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_r_0_1.jpg,test,pos,1,255.000000
solo_test_pos_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_1_1.jpg,test,pos,1,250.000000
solo_test_pos_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_1_2.jpg,test,pos,1,229.000000
solo_test_pos_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_2_1.jpg,test,pos,1,249.000000
solo_test_pos_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_2_2.jpg,test,pos,1,245.000000
solo_test_pos_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_3_1.jpg,test,pos,1,249.000000
solo_test_pos_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_3_2.jpg,test,pos,1,248.000000
solo_test_pos_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_4_1.jpg,test,pos,1,245.000000
solo_test_pos_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_4_2.jpg,test,pos,1,230.000000
solo_test_pos_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_5_1.jpg,test,pos,1,238.000000
solo_test_pos_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_5_2.jpg,test,pos,1,234.000000
