dataset,split,image_id,label,y,score
solo,test,solo_test_pos_tube_1_1,pos,1,250.000000
solo,test,solo_test_pos_tube_1_2,pos,1,229.000000
solo,test,solo_test_pos_tube_2_1,pos,1,249.000000
solo,test,solo_test_pos_tube_2_2,pos,1,245.000000
solo,test,solo_test_pos_tube_3_1,pos,1,249.000000
solo,test,solo_test_pos_tube_3_2,pos,1,248.000000
solo,test,solo_test_pos_tube_4_1,pos,1,245.000000
solo,test,solo_test_pos_tube_4_2,pos,1,230.000000
solo,test,solo_test_pos_tube_5_1,pos,1,238.000000
solo,test,solo_test_pos_tube_5_2,pos,1,234.000000
pair,neg_pos,pair_neg_pos_1,pos,1,1.212121
pair,neg_pos,pair_neg_pos_10,pos,1,1.244792
pair,neg_pos,pair_neg_pos_11,pos,1,1.331395
pair,neg_pos,pair_neg_pos_12,pos,1,1.329480
pair,neg_pos,pair_neg_pos_13,pos,1,1.361582
pair,neg_pos,pair_neg_pos_14,pos,1,1.349693
pair,neg_pos,pair_neg_pos_15,pos,1,1.341463
pair,neg_pos,pair_neg_pos_16,pos,1,1.221675
pair,neg_pos,pair_neg_pos_17,pos,1,1.193069
pair,neg_pos,pair_neg_pos_18,pos,1,1.350877
pair,neg_pos,pair_neg_pos_19,pos,1,1.317919
pair,neg_pos,pair_neg_pos_2,pos,1,1.199005
pair,neg_pos,pair_neg_pos_20,pos,1,1.333333
pair,neg_pos,pair_neg_pos_3,pos,1,1.115741
pair,neg_pos,pair_neg_pos_4,pos,1,1.140845
pair,neg_pos,pair_neg_pos_5,pos,1,1.213542
pair,neg_pos,pair_neg_pos_6,pos,1,1.212435
pair,neg_pos,pair_neg_pos_7,pos,1,1.159420
pair,neg_pos,pair_neg_pos_8,pos,1,1.207071
pair,neg_pos,pair_neg_pos_9,pos,1,1.243523
pair,neg_neg,neg_neg_1,neg,0,0.900000
pair,neg_neg,neg_neg_10,neg,0,0.978448
pair,neg_neg,neg_neg_11,neg,0,1.056995
pair,neg_neg,neg_neg_12,neg,0,1.057592
pair,neg_neg,neg_neg_13,neg,0,1.089109
pair,neg_neg,neg_neg_14,neg,0,1.083333
pair,neg_neg,neg_neg_15,neg,0,0.975728
pair,neg_neg,neg_neg_16,neg,0,0.985294
pair,neg_neg,neg_neg_17,neg,0,0.934066
pair,neg_neg,neg_neg_18,neg,0,0.950278
pair,neg_neg,neg_neg_19,neg,0,0.979253
pair,neg_neg,neg_neg_2,neg,0,0.899038
pair,neg_neg,neg_neg_20,neg,0,0.971074
pair,neg_neg,neg_neg_21,neg,0,1.155280
pair,neg_neg,neg_neg_22,neg,0,1.174863
pair,neg_neg,neg_neg_23,neg,0,1.217391
pair,neg_neg,neg_neg_24,neg,0,1.188889
pair,neg_neg,neg_neg_3,neg,0,0.960591
pair,neg_neg,neg_neg_4,neg,0,0.960591
pair,neg_neg,neg_neg_5,neg,0,1.005000
pair,neg_neg,neg_neg_6,neg,0,0.994253
pair,neg_neg,neg_neg_7,neg,0,1.030000
pair,neg_neg,neg_neg_8,neg,0,1.013274
pair,neg_neg,neg_neg_9,neg,0,0.982684
