image_id,image_path,split,label,I
solo_train_pos_13,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_13.jpg,train,pos,225.000000
solo_train_pos_14,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_14.jpg,train,pos,244.000000
solo_train_pos_15,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_15.jpg,train,pos,227.000000
solo_train_pos_16,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_16.jpg,train,pos,226.000000
solo_train_pos_17,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_17.jpg,train,pos,221.000000
solo_train_pos_18,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_18.jpg,train,pos,222.000000
solo_train_pos_19,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_19.jpg,train,pos,237.000000
solo_train_pos_2,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_2.jpg,train,pos,247.000000
solo_train_pos_20,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_20.jpg,train,pos,222.000000
solo_train_pos_21,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_21.jpg,train,pos,237.000000
solo_train_pos_22,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_22.jpg,train,pos,238.000000
solo_train_pos_23,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_23.jpg,train,pos,232.000000
solo_train_pos_24,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_24.jpg,train,pos,254.000000
solo_train_pos_25,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_25.jpg,train,pos,254.000000
solo_train_pos_26,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_26.jpg,train,pos,242.000000
solo_train_pos_27,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_27.jpg,train,pos,242.000000
solo_train_pos_28,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_28.jpg,train,pos,233.000000
solo_train_pos_29,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_29.jpg,train,pos,234.000000
solo_train_pos_3,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_3.jpg,train,pos,230.000000
solo_train_pos_30,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_30.jpg,train,pos,245.000000
solo_train_pos_31,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_31.jpg,train,pos,243.000000
solo_train_pos_32,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_32.jpg,train,pos,229.000000
solo_train_pos_33,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_33.jpg,train,pos,228.000000
solo_train_pos_34,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_34.jpg,train,pos,242.000000
solo_train_pos_35,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_35.jpg,train,pos,242.000000
solo_train_pos_36,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_36.jpg,train,pos,248.000000
solo_train_pos_37,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_37.jpg,train,pos,247.000000
solo_train_pos_38,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_38.jpg,train,pos,240.000000
solo_train_pos_39,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_39.jpg,train,pos,240.000000
solo_train_pos_4,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_4.jpg,train,pos,231.000000
solo_train_pos_40,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_40.jpg,train,pos,237.000000
solo_train_pos_5,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_5.jpg,train,pos,235.000000
solo_train_pos_6,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_6.jpg,train,pos,223.000000
solo_train_pos_7,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_7.jpg,train,pos,225.000000
solo_train_pos_8,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_8.jpg,train,pos,225.000000
solo_train_pos_9,C:\ngd_data\dataset\solo\train\pos\solo_train_pos_9.jpg,train,pos,239.000000
solo_test_neg_blue_1,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,test,neg,206.000000
solo_test_neg_blue_2,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,test,neg,209.000000
solo_test_neg_neg_2x_01,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,test,neg,206.000000
solo_test_neg_neg_2x_02,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,test,neg,209.000000
solo_test_neg_r_0,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_r_0.jpg,test,neg,209.000000
solo_test_neg_tube_1_1,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,test,neg,209.000000
solo_test_neg_tube_1_2,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,test,neg,222.000000
solo_test_neg_tube_2_1,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,test,neg,190.000000
solo_test_neg_tube_2_2,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,test,neg,203.000000
solo_test_neg_tube_3_1,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,test,neg,200.000000
solo_test_neg_tube_3_2,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,test,neg,200.000000
solo_test_neg_tube_4_1,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,test,neg,204.000000
solo_test_neg_tube_4_2,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,test,neg,192.000000
solo_test_neg_tube_5_1,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,test,neg,208.000000
solo_test_neg_tube_5_2,C:\ngd_data\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,test,neg,210.000000
solo_test_pos_2x_01,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_2x_01.jpg,test,pos,255.000000
solo_test_pos_2x_02,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_2x_02.jpg,test,pos,255.000000
solo_test_pos_blue_1,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,test,pos,255.000000
solo_test_pos_blue_2,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,test,pos,255.000000
solo_test_pos_r_0_1,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_r_0_1.jpg,test,pos,255.000000
solo_test_pos_tube_1_1,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_1_1.jpg,test,pos,250.000000
solo_test_pos_tube_1_2,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_1_2.jpg,test,pos,229.000000
solo_test_pos_tube_2_1,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_2_1.jpg,test,pos,249.000000
solo_test_pos_tube_2_2,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_2_2.jpg,test,pos,245.000000
solo_test_pos_tube_3_1,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_3_1.jpg,test,pos,249.000000
solo_test_pos_tube_3_2,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_3_2.jpg,test,pos,248.000000
solo_test_pos_tube_4_1,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_4_1.jpg,test,pos,245.000000
solo_test_pos_tube_4_2,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_4_2.jpg,test,pos,230.000000
solo_test_pos_tube_5_1,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_5_1.jpg,test,pos,238.000000
solo_test_pos_tube_5_2,C:\ngd_data\dataset\solo\test\pos\solo_test_pos_tube_5_2.jpg,test,pos,234.000000
