image_id,image_path,split,label,G_p95_au,sat_frac
solo_train_neg_29,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_29.jpg,train,neg,208.0000,0.0000
solo_train_neg_3,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_3.jpg,train,neg,212.0000,0.0000
solo_train_neg_30,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_30.jpg,train,neg,208.0000,0.0000
solo_train_neg_31,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_31.jpg,train,neg,212.0000,0.0000
solo_train_neg_32,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_32.jpg,train,neg,210.0000,0.0000
solo_train_neg_33,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_33.jpg,train,neg,203.0000,0.0000
solo_train_neg_34,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_34.jpg,train,neg,205.0000,0.0000
solo_train_neg_35,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_35.jpg,train,neg,199.0000,0.0000
solo_train_neg_36,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_36.jpg,train,neg,200.0000,0.0000
solo_train_neg_37,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_37.jpg,train,neg,208.0000,0.0000
solo_train_neg_38,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_38.jpg,train,neg,210.0000,0.0000
solo_train_neg_39,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_39.jpg,train,neg,207.0000,0.0000
solo_train_neg_4,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_4.jpg,train,neg,212.0000,0.0000
solo_train_neg_40,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_40.jpg,train,neg,208.0000,0.0000
solo_train_neg_5,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_5.jpg,train,neg,214.0000,0.0000
solo_train_neg_6,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_6.jpg,train,neg,214.0000,0.0000
solo_train_neg_7,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_7.jpg,train,neg,211.0000,0.0000
solo_train_neg_8,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_8.jpg,train,neg,212.0000,0.0000
solo_train_neg_9,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\neg\solo_train_neg_9.jpg,train,neg,208.0000,0.0000
solo_train_pos_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_1.jpg,train,pos,246.0000,0.0170
solo_train_pos_10,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_10.jpg,train,pos,239.0000,0.0081
solo_train_pos_11,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_11.jpg,train,pos,227.0000,0.0001
solo_train_pos_12,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_12.jpg,train,pos,227.0000,0.0000
solo_train_pos_13,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_13.jpg,train,pos,225.0000,0.0000
solo_train_pos_14,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_14.jpg,train,pos,244.0000,0.0126
solo_train_pos_15,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_15.jpg,train,pos,227.0000,0.0001
solo_train_pos_16,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_16.jpg,train,pos,226.0000,0.0002
solo_train_pos_17,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_17.jpg,train,pos,221.0000,0.0000
solo_train_pos_18,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_18.jpg,train,pos,222.0000,0.0000
solo_train_pos_19,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_19.jpg,train,pos,237.0000,0.0075
solo_train_pos_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_2.jpg,train,pos,247.0000,0.0155
solo_train_pos_20,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_20.jpg,train,pos,222.0000,0.0000
solo_train_pos_21,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_21.jpg,train,pos,237.0000,0.0097
solo_train_pos_22,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_22.jpg,train,pos,238.0000,0.0030
solo_train_pos_23,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_23.jpg,train,pos,232.0000,0.0056
solo_train_pos_24,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_24.jpg,train,pos,254.0000,0.0644
solo_train_pos_25,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_25.jpg,train,pos,254.0000,0.0538
solo_train_pos_26,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_26.jpg,train,pos,242.0000,0.0140
solo_train_pos_27,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_27.jpg,train,pos,242.0000,0.0112
solo_train_pos_28,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_28.jpg,train,pos,233.0000,0.0028
solo_train_pos_29,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_29.jpg,train,pos,234.0000,0.0035
solo_train_pos_3,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_3.jpg,train,pos,230.0000,0.0007
solo_train_pos_30,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_30.jpg,train,pos,245.0000,0.0186
solo_train_pos_31,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_31.jpg,train,pos,243.0000,0.0167
solo_train_pos_32,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_32.jpg,train,pos,229.0000,0.0014
solo_train_pos_33,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_33.jpg,train,pos,228.0000,0.0007
solo_train_pos_34,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_34.jpg,train,pos,242.0000,0.0144
solo_train_pos_35,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_35.jpg,train,pos,242.0000,0.0127
solo_train_pos_36,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_36.jpg,train,pos,248.0000,0.0213
solo_train_pos_37,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_37.jpg,train,pos,247.0000,0.0205
solo_train_pos_38,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_38.jpg,train,pos,240.0000,0.0136
solo_train_pos_39,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_39.jpg,train,pos,240.0000,0.0108
solo_train_pos_4,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_4.jpg,train,pos,231.0000,0.0019
solo_train_pos_40,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_40.jpg,train,pos,237.0000,0.0125
solo_train_pos_5,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_5.jpg,train,pos,235.0000,0.0000
solo_train_pos_6,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_6.jpg,train,pos,223.0000,0.0000
solo_train_pos_7,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_7.jpg,train,pos,225.0000,0.0000
solo_train_pos_8,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_8.jpg,train,pos,225.0000,0.0000
solo_train_pos_9,C:\n.gonorrhea_diagnostic_app\dataset\solo\train\pos\solo_train_pos_9.jpg,train,pos,239.0000,0.0086
solo_test_neg_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_1.jpg,test,neg,206.0000,0.0000
solo_test_neg_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_blue_2.jpg,test,neg,209.0000,0.0000
solo_test_neg_neg_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_01.jpg,test,neg,206.0000,0.0000
solo_test_neg_neg_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_neg_2x_02.jpg,test,neg,209.0000,0.0000
solo_test_neg_r_0,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_r_0.jpg,test,neg,209.0000,0.0000
solo_test_neg_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_1.jpg,test,neg,209.0000,0.0000
solo_test_neg_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_1_2.jpg,test,neg,222.0000,0.0000
solo_test_neg_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_1.jpg,test,neg,190.0000,0.0000
solo_test_neg_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_2_2.jpg,test,neg,203.0000,0.0000
solo_test_neg_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_1.jpg,test,neg,200.0000,0.0000
solo_test_neg_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_3_2.jpg,test,neg,200.0000,0.0000
solo_test_neg_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_1.jpg,test,neg,204.0000,0.0000
solo_test_neg_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_4_2.jpg,test,neg,192.0000,0.0000
solo_test_neg_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_1.jpg,test,neg,208.0000,0.0000
solo_test_neg_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\neg\solo_test_neg_tube_5_2.jpg,test,neg,210.0000,0.0000
solo_test_pos_2x_01,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_01.jpg,test,pos,255.0000,0.2880
solo_test_pos_2x_02,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_2x_02.jpg,test,pos,255.0000,0.2864
solo_test_pos_blue_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_1.jpg,test,pos,255.0000,0.2880
solo_test_pos_blue_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_blue_2.jpg,test,pos,255.0000,0.2864
solo_test_pos_r_0_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_r_0_1.jpg,test,pos,255.0000,0.2864
solo_test_pos_tube_1_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_1_1.jpg,test,pos,250.0000,0.0198
solo_test_pos_tube_1_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_1_2.jpg,test,pos,229.0000,0.0011
solo_test_pos_tube_2_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_2_1.jpg,test,pos,249.0000,0.0193
solo_test_pos_tube_2_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_2_2.jpg,test,pos,245.0000,0.0065
solo_test_pos_tube_3_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_3_1.jpg,test,pos,249.0000,0.0070
solo_test_pos_tube_3_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_3_2.jpg,test,pos,248.0000,0.0065
solo_test_pos_tube_4_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_4_1.jpg,test,pos,245.0000,0.0147
solo_test_pos_tube_4_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_4_2.jpg,test,pos,230.0000,0.0023
solo_test_pos_tube_5_1,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_5_1.jpg,test,pos,238.0000,0.0036
solo_test_pos_tube_5_2,C:\n.gonorrhea_diagnostic_app\dataset\solo\test\pos\solo_test_pos_tube_5_2.jpg,test,pos,234.0000,0.0000
